GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
moviestore,default,MovieStore,0,80,0,8,0,13,0,13,0,9
moviestore,model,Movie,0,21,0,0,0,8,0,4,0,4
